"","train","1_rich","2","3","4","5","6","7_poor"
"1",50,0,0,0,0.81097098516379,0,0,0
"2",60,0,0,0,0.811055327909404,0,0,0
"3",70,0,0,0,0.810080621884049,0,0,0
"4",80,0,0,0,0.808252268780534,0,0,0
"5",90,0,0,0,0.810817702257629,0,0,0
